lead_id,full_name,age,gender,occupation,annual_income,city,existing_policy,product_interested,website_visits,email_opens,calls_answered,form_submitted,last_interaction_days,lead_source,email,contact_number,conversion_target,income_to_premium_ratio,claim_frequency,is_fraud
LDX-1014,Large Lead User 14,47,F,Student,138293.14,Houston,True,Home,5,4,3,True,1,Organic,large_lead_14@example.com,555-01015,1,62.13,1.57,1
LDX-1015,Large Lead User 15,56,Other,Engineer,37314.91,Los Angeles,True,Auto,10,10,0,True,2,Referral,large_lead_15@example.com,555-01016,0,20.79,1.71,1
LDX-1016,Large Lead User 16,58,F,Doctor,59545.84,Los Angeles,False,Home,19,4,0,False,20,Paid Search,large_lead_16@example.com,555-01017,1,70.45,1.13,0
LDX-1017,Large Lead User 17,41,Other,Teacher,84866.95,Phoenix,False,Home,2,5,0,True,15,Paid Search,large_lead_17@example.com,555-01018,0,43.26,0.2,0
LDX-1018,Large Lead User 18,32,M,Student,82582.15,Chicago,True,Home,17,4,5,True,10,Organic,large_lead_18@example.com,555-01019,0,76.82,1.31,0
LDX-1019,Large Lead User 19,31,F,Engineer,62681.79,New York,False,Life,19,0,1,True,23,Social Media,large_lead_19@example.com,555-01020,1,79.4,1.71,1
LDX-1020,Large Lead User 20,62,M,Teacher,147575.75,Phoenix,True,Life,5,9,5,True,15,Referral,large_lead_20@example.com,555-01021,1,21.47,0.02,0
LDX-1021,Large Lead User 21,41,Other,Sales,73758.18,Phoenix,True,Home,1,2,2,True,7,Referral,large_lead_21@example.com,555-01022,0,12.23,0.71,0
LDX-1022,Large Lead User 22,69,Other,Engineer,140938.48,Houston,True,Health,13,3,5,True,28,Referral,large_lead_22@example.com,555-01023,1,41.47,0.32,0
LDX-1023,Large Lead User 23,74,M,Doctor,125441.46,Chicago,False,Life,7,0,1,True,1,Social Media,large_lead_23@example.com,555-01024,1,26.07,0.56,0
LDX-1024,Large Lead User 24,38,Other,Engineer,34590.86,Houston,True,Life,19,0,3,False,12,Organic,large_lead_24@example.com,555-01025,1,56.79,1.21,0
LDX-1025,Large Lead User 25,73,F,Engineer,94614.24,Chicago,False,Health,6,5,2,False,14,Social Media,large_lead_25@example.com,555-01026,0,59.9,0.66,0
LDX-1026,Large Lead User 26,34,Other,Engineer,80453.56,Chicago,False,Home,12,6,5,False,24,Referral,large_lead_26@example.com,555-01027,1,49.76,0.6,0
LDX-1027,Large Lead User 27,65,Other,Doctor,55644.17,New York,True,Life,15,3,5,True,6,Paid Search,large_lead_27@example.com,555-01028,1,12.2,1.33,0
LDX-1028,Large Lead User 28,37,Other,Sales,148072.32,Houston,False,Home,19,2,0,True,15,Organic,large_lead_28@example.com,555-01029,1,80.06,0.39,0
LDX-1029,Large Lead User 29,36,M,Sales,51106.4,Phoenix,False,Health,16,9,3,False,2,Referral,large_lead_29@example.com,555-01030,1,90.75,0.24,0
LDX-1030,Large Lead User 30,69,Other,Teacher,133379.39,Chicago,False,Auto,14,4,2,True,25,Social Media,large_lead_30@example.com,555-01031,0,40.23,1.53,1
LDX-1031,Large Lead User 31,56,F,Doctor,39669.32,Phoenix,False,Health,4,0,1,True,13,Referral,large_lead_31@example.com,555-01032,0,45.05,0.13,0
LDX-1032,Large Lead User 32,71,F,Sales,100089.53,Phoenix,True,Health,0,3,4,False,13,Referral,large_lead_32@example.com,555-01033,0,53.71,0.6,0
LDX-1033,Large Lead User 33,46,F,Student,70335.55,Phoenix,True,Auto,12,10,5,False,6,Paid Search,large_lead_33@example.com,555-01034,1,88.02,1.96,1
LDX-1034,Large Lead User 34,33,F,Doctor,36034.16,New York,False,Auto,12,8,2,True,7,Social Media,large_lead_34@example.com,555-01035,1,30.18,1.76,1
LDX-1035,Large Lead User 35,26,M,Teacher,123747.97,Houston,True,Home,20,7,0,False,25,Social Media,large_lead_35@example.com,555-01036,1,25.1,1.68,1
LDX-1036,Large Lead User 36,60,Other,Sales,145648.17,Houston,True,Auto,3,9,1,True,10,Organic,large_lead_36@example.com,555-01037,1,72.75,0.62,0
LDX-1037,Large Lead User 37,41,F,Doctor,132035.19,New York,False,Auto,19,6,0,False,26,Organic,large_lead_37@example.com,555-01038,1,49.02,0.69,0
LDX-1038,Large Lead User 38,45,Other,Sales,106270.21,Houston,False,Life,14,5,5,True,5,Organic,large_lead_38@example.com,555-01039,1,35.1,1.93,1
LDX-1039,Large Lead User 39,50,F,Teacher,59263.61,Houston,True,Life,14,4,4,False,20,Social Media,large_lead_39@example.com,555-01040,1,89.23,0.99,0
LDX-1040,Large Lead User 40,66,F,Student,135612.88,Los Angeles,False,Health,17,7,0,True,17,Organic,large_lead_40@example.com,555-01041,1,36.48,1.44,0
LDX-1041,Large Lead User 41,47,Other,Student,113014.46,Chicago,False,Health,9,4,5,False,19,Social Media,large_lead_41@example.com,555-01042,1,30.75,0.69,0
LDX-1042,Large Lead User 42,68,Other,Sales,53110.12,Chicago,False,Auto,3,3,5,False,18,Paid Search,large_lead_42@example.com,555-01043,0,42.48,0.38,0
LDX-1043,Large Lead User 43,41,M,Sales,31697.8,New York,True,Life,17,7,1,False,9,Referral,large_lead_43@example.com,555-01044,1,40.66,0.58,0
LDX-1044,Large Lead User 44,25,Other,Engineer,60297.41,Los Angeles,True,Life,15,1,0,True,27,Organic,large_lead_44@example.com,555-01045,0,60.23,1.15,0
LDX-1045,Large Lead User 45,48,Other,Sales,102758.12,Chicago,True,Auto,19,3,1,True,25,Social Media,large_lead_45@example.com,555-01046,1,69.44,0.89,0
LDX-1046,Large Lead User 46,32,F,Engineer,58783.82,Los Angeles,False,Life,17,7,0,True,6,Paid Search,large_lead_46@example.com,555-01047,1,93.15,1.19,0
LDX-1047,Large Lead User 47,72,Other,Teacher,124949.73,Chicago,True,Auto,18,0,5,True,26,Social Media,large_lead_47@example.com,555-01048,1,63.55,1.09,0
LDX-1048,Large Lead User 48,74,F,Student,98304.85,Phoenix,False,Health,9,1,3,True,4,Referral,large_lead_48@example.com,555-01049,1,76.11,0.81,0
LDX-1049,Large Lead User 49,60,Other,Doctor,60044.15,Phoenix,True,Home,2,7,1,False,22,Social Media,large_lead_49@example.com,555-01050,0,26.33,1.9,0
LDX-1050,Large Lead User 50,59,M,Doctor,82306.2,Houston,False,Life,15,10,0,False,16,Organic,large_lead_50@example.com,555-01051,1,50.93,1.34,0
LDX-1051,Large Lead User 51,42,Other,Sales,60287.86,Houston,True,Home,3,8,3,False,28,Referral,large_lead_51@example.com,555-01052,0,66.29,1.32,0
LDX-1052,Large Lead User 52,70,M,Engineer,36193.41,Phoenix,True,Home,8,4,4,True,5,Referral,large_lead_52@example.com,555-01053,1,18.39,1.4,0
LDX-1053,Large Lead User 53,75,Other,Doctor,139551.59,Houston,False,Health,14,3,0,False,21,Paid Search,large_lead_53@example.com,555-01054,1,44.52,1.43,0
LDX-1054,Large Lead User 54,60,Other,Doctor,90988.91,New York,False,Life,4,9,0,False,9,Paid Search,large_lead_54@example.com,555-01055,0,50.19,0.68,0
LDX-1055,Large Lead User 55,52,Other,Teacher,71414.87,Phoenix,False,Home,17,6,4,True,13,Social Media,large_lead_55@example.com,555-01056,1,77.02,0.38,0
LDX-1056,Large Lead User 56,67,M,Teacher,139611.62,Phoenix,False,Auto,12,7,3,True,22,Referral,large_lead_56@example.com,555-01057,1,11.38,0.3,0
LDX-1057,Large Lead User 57,31,Other,Sales,79197.43,New York,False,Health,20,5,1,False,3,Organic,large_lead_57@example.com,555-01058,0,65.57,0.68,0
LDX-1058,Large Lead User 58,37,M,Sales,105739.32,Los Angeles,False,Auto,9,0,1,False,24,Organic,large_lead_58@example.com,555-01059,0,36.4,1.52,1
LDX-1059,Large Lead User 59,45,M,Student,81682.41,Houston,True,Health,7,9,4,True,14,Paid Search,large_lead_59@example.com,555-01060,0,51.5,0.34,0
LDX-1060,Large Lead User 60,38,F,Student,85148.46,Chicago,False,Life,0,7,3,False,29,Paid Search,large_lead_60@example.com,555-01061,0,99.94,0.15,0
LDX-1061,Large Lead User 61,52,Other,Sales,42798.39,Chicago,True,Auto,12,9,4,False,12,Social Media,large_lead_61@example.com,555-01062,0,79.82,0.59,0
LDX-1062,Large Lead User 62,36,Other,Teacher,102847.8,New York,True,Life,11,7,1,True,21,Social Media,large_lead_62@example.com,555-01063,1,75.91,1.51,1
LDX-1063,Large Lead User 63,27,F,Student,139155.34,Phoenix,False,Home,10,4,5,False,14,Social Media,large_lead_63@example.com,555-01064,1,77.19,1.08,0
LDX-1064,Large Lead User 64,43,Other,Sales,126507.9,Phoenix,False,Auto,14,6,0,True,5,Social Media,large_lead_64@example.com,555-01065,1,58.29,1.35,0
LDX-1065,Large Lead User 65,51,M,Sales,74230.28,New York,False,Home,8,10,4,True,13,Referral,large_lead_65@example.com,555-01066,0,91.84,0.22,0
LDX-1066,Large Lead User 66,41,M,Teacher,107908.73,Phoenix,True,Health,3,7,1,False,2,Referral,large_lead_66@example.com,555-01067,1,62.86,0.99,0
LDX-1067,Large Lead User 67,68,Other,Doctor,48542.75,Los Angeles,False,Health,13,3,5,False,4,Organic,large_lead_67@example.com,555-01068,1,98.28,1.88,1
LDX-1068,Large Lead User 68,45,F,Engineer,95335.9,Los Angeles,True,Auto,20,5,2,True,2,Paid Search,large_lead_68@example.com,555-01069,1,80.83,0.24,0
LDX-1069,Large Lead User 69,35,M,Student,38233.22,New York,False,Home,17,2,1,False,19,Paid Search,large_lead_69@example.com,555-01070,0,19.89,0.66,0
LDX-1070,Large Lead User 70,23,Other,Sales,45816.39,Phoenix,True,Auto,11,7,1,False,19,Social Media,large_lead_70@example.com,555-01071,1,56.19,0.1,0
LDX-1071,Large Lead User 71,28,F,Sales,84240.65,New York,True,Health,7,6,4,False,2,Organic,large_lead_71@example.com,555-01072,0,54.12,1.32,0
LDX-1072,Large Lead User 72,50,Other,Student,38818.89,Chicago,False,Life,2,7,2,False,20,Organic,large_lead_72@example.com,555-01073,0,81.38,1.25,0
LDX-1073,Large Lead User 73,29,F,Sales,132335.13,Houston,True,Life,20,6,4,False,24,Social Media,large_lead_73@example.com,555-01074,1,43.69,1.78,1
LDX-1074,Large Lead User 74,31,Other,Doctor,112418.52,Los Angeles,True,Life,15,10,0,True,3,Referral,large_lead_74@example.com,555-01075,1,41.82,0.19,0
LDX-1075,Large Lead User 75,64,Other,Student,142935.58,Los Angeles,True,Health,13,3,5,True,2,Social Media,large_lead_75@example.com,555-01076,1,86.08,0.7,0
LDX-1076,Large Lead User 76,45,Other,Student,43786.24,New York,False,Auto,8,2,4,False,8,Social Media,large_lead_76@example.com,555-01077,0,92.94,1.95,0
LDX-1077,Large Lead User 77,44,M,Engineer,30732.69,Phoenix,True,Health,4,6,4,False,22,Social Media,large_lead_77@example.com,555-01078,1,24.17,1.27,0
LDX-1078,Large Lead User 78,41,M,Doctor,116591.52,Houston,False,Health,18,9,4,False,3,Referral,large_lead_78@example.com,555-01079,1,34.59,1.51,1
LDX-1079,Large Lead User 79,70,Other,Doctor,91481.56,New York,True,Health,11,9,3,True,4,Organic,large_lead_79@example.com,555-01080,1,28.4,0.97,0
LDX-1080,Large Lead User 80,35,M,Sales,122081.94,Phoenix,True,Life,8,1,2,False,11,Organic,large_lead_80@example.com,555-01081,0,49.26,0.86,0
LDX-1081,Large Lead User 81,51,M,Sales,140539.49,New York,False,Home,10,9,4,False,14,Social Media,large_lead_81@example.com,555-01082,1,17.93,0.84,0
LDX-1082,Large Lead User 82,28,M,Doctor,59197.98,Los Angeles,True,Auto,18,8,3,True,17,Social Media,large_lead_82@example.com,555-01083,1,41.6,1.49,0
LDX-1083,Large Lead User 83,74,Other,Engineer,107453.16,Los Angeles,False,Health,4,9,1,False,4,Social Media,large_lead_83@example.com,555-01084,0,87.78,1.2,0
LDX-1084,Large Lead User 84,62,M,Doctor,67936.67,Phoenix,True,Life,14,7,0,False,16,Organic,large_lead_84@example.com,555-01085,1,15.12,0.55,0
LDX-1085,Large Lead User 85,75,Other,Engineer,64449.24,Houston,True,Life,20,9,0,False,20,Paid Search,large_lead_85@example.com,555-01086,1,96.2,1.16,0
LDX-1086,Large Lead User 86,50,F,Sales,42420.23,Phoenix,True,Life,10,5,5,False,3,Referral,large_lead_86@example.com,555-01087,1,46.79,0.5,0
LDX-1087,Large Lead User 87,43,F,Doctor,111467.73,Chicago,True,Life,1,1,5,True,21,Social Media,large_lead_87@example.com,555-01088,0,37.92,1.12,0
LDX-1088,Large Lead User 88,63,Other,Doctor,113817.6,Los Angeles,True,Health,12,8,1,False,20,Organic,large_lead_88@example.com,555-01089,1,42.63,1.12,0
LDX-1089,Large Lead User 89,33,M,Student,144140.32,Phoenix,True,Life,10,9,3,True,7,Referral,large_lead_89@example.com,555-01090,1,23.88,0.15,0
LDX-1090,Large Lead User 90,33,M,Sales,129761.41,Phoenix,False,Health,19,3,1,True,24,Social Media,large_lead_90@example.com,555-01091,1,96.9,1.35,0
LDX-1091,Large Lead User 91,72,F,Sales,86281.87,Phoenix,False,Home,6,3,2,True,22,Social Media,large_lead_91@example.com,555-01092,0,14.7,0.92,0
LDX-1092,Large Lead User 92,52,M,Doctor,134894.03,Houston,True,Health,17,1,0,True,23,Referral,large_lead_92@example.com,555-01093,0,89.62,0.57,0
LDX-1093,Large Lead User 93,23,M,Doctor,79787.63,New York,False,Home,12,2,4,True,12,Social Media,large_lead_93@example.com,555-01094,0,92.57,0.75,0
LDX-1094,Large Lead User 94,52,F,Teacher,113528.64,Los Angeles,False,Auto,4,4,5,True,16,Social Media,large_lead_94@example.com,555-01095,1,20.97,0.16,0
LDX-1095,Large Lead User 95,37,M,Student,80379.07,Phoenix,True,Home,19,4,3,False,3,Organic,large_lead_95@example.com,555-01096,1,65.33,1.19,0
LDX-1096,Large Lead User 96,37,Other,Student,98479.65,Phoenix,True,Health,5,7,5,True,22,Referral,large_lead_96@example.com,555-01097,0,98.29,0.14,0
LDX-1097,Large Lead User 97,38,Other,Doctor,119677.99,Los Angeles,True,Life,11,8,0,False,12,Paid Search,large_lead_97@example.com,555-01098,0,84.73,0.21,0
LDX-1098,Large Lead User 98,65,F,Teacher,85754.75,New York,True,Auto,15,5,5,False,6,Referral,large_lead_98@example.com,555-01099,1,99.02,1.55,1
LDX-1099,Large Lead User 99,56,Other,Doctor,86807.97,Chicago,True,Life,1,6,5,False,7,Referral,large_lead_99@example.com,555-01100,0,90.52,0.1,0
LDX-1100,Large Lead User 100,46,M,Sales,70684.4,New York,False,Home,5,8,3,False,23,Social Media,large_lead_100@example.com,555-01101,0,19.23,1.04,0
LDX-1101,Large Lead User 101,42,F,Engineer,109310.31,Chicago,False,Life,9,10,3,True,20,Organic,large_lead_101@example.com,555-01102,1,70.41,0.89,0
LDX-1102,Large Lead User 102,47,M,Engineer,73597.34,Los Angeles,False,Life,5,6,0,True,5,Paid Search,large_lead_102@example.com,555-01103,0,71.12,0.88,0
LDX-1103,Large Lead User 103,45,M,Engineer,74641.61,New York,True,Health,2,8,4,False,5,Organic,large_lead_103@example.com,555-01104,1,33.56,1.3,0
LDX-1104,Large Lead User 104,38,M,Engineer,114484.54,Houston,True,Health,6,1,4,False,10,Social Media,large_lead_104@example.com,555-01105,0,73.86,0.4,0
LDX-1105,Large Lead User 105,57,F,Student,95060.56,Los Angeles,True,Home,9,2,1,True,23,Referral,large_lead_105@example.com,555-01106,0,12.37,0.35,0
LDX-1106,Large Lead User 106,57,Other,Sales,98673.29,Phoenix,False,Health,14,9,4,True,5,Paid Search,large_lead_106@example.com,555-01107,1,97.51,0.62,0
LDX-1107,Large Lead User 107,63,M,Teacher,38899.8,Houston,True,Auto,14,8,5,True,17,Social Media,large_lead_107@example.com,555-01108,1,24.82,1.56,1
LDX-1108,Large Lead User 108,42,Other,Student,142168.54,Chicago,True,Life,7,9,2,True,17,Paid Search,large_lead_108@example.com,555-01109,0,63.26,0.5,0
LDX-1109,Large Lead User 109,59,M,Engineer,48503.31,New York,False,Home,19,9,5,False,29,Organic,large_lead_109@example.com,555-01110,1,54.82,1.13,0
LDX-1110,Large Lead User 110,62,F,Engineer,95469.3,New York,True,Health,20,6,2,False,16,Referral,large_lead_110@example.com,555-01111,1,28.36,0.81,0
LDX-1111,Large Lead User 111,60,M,Doctor,47240.24,Los Angeles,False,Auto,10,4,5,False,28,Paid Search,large_lead_111@example.com,555-01112,1,22.68,1.52,1
LDX-1112,Large Lead User 112,25,F,Student,64825.44,Chicago,True,Home,12,7,4,False,14,Referral,large_lead_112@example.com,555-01113,0,89.12,0.32,0
LDX-1113,Large Lead User 113,53,M,Doctor,32781.16,Houston,False,Life,12,8,4,True,15,Organic,large_lead_113@example.com,555-01114,1,48.78,0.71,0
LDX-1114,Large Lead User 114,38,Other,Doctor,117300.97,New York,False,Health,12,8,2,False,2,Organic,large_lead_114@example.com,555-01115,1,21.58,0.39,0
LDX-1115,Large Lead User 115,28,Other,Engineer,77268.45,New York,True,Home,10,5,4,False,12,Referral,large_lead_115@example.com,555-01116,1,23.4,1.02,0
LDX-1116,Large Lead User 116,54,Other,Student,46773.72,Phoenix,False,Life,19,7,2,True,6,Social Media,large_lead_116@example.com,555-01117,1,39.81,1.69,1
LDX-1117,Large Lead User 117,29,Other,Sales,147587.76,Chicago,True,Auto,18,9,2,False,26,Paid Search,large_lead_117@example.com,555-01118,1,57.18,1.26,0
LDX-1118,Large Lead User 118,68,M,Sales,104368.3,Chicago,False,Home,12,6,1,True,27,Referral,large_lead_118@example.com,555-01119,1,55.16,1.9,1
LDX-1119,Large Lead User 119,61,F,Doctor,140462.51,Los Angeles,False,Life,1,8,5,False,5,Social Media,large_lead_119@example.com,555-01120,0,64.91,2.0,1
LDX-1120,Large Lead User 120,34,F,Teacher,144880.49,Houston,False,Health,8,5,4,False,10,Social Media,large_lead_120@example.com,555-01121,0,20.97,0.6,0
LDX-1121,Large Lead User 121,65,Other,Engineer,95182.91,Chicago,False,Life,12,7,2,True,25,Paid Search,large_lead_121@example.com,555-01122,1,84.52,0.58,0
LDX-1122,Large Lead User 122,39,Other,Student,141962.87,Los Angeles,True,Auto,8,1,1,False,4,Social Media,large_lead_122@example.com,555-01123,0,74.56,0.48,0
LDX-1123,Large Lead User 123,28,F,Sales,111743.04,Los Angeles,False,Life,4,4,0,True,18,Organic,large_lead_123@example.com,555-01124,0,68.71,1.31,0
LDX-1124,Large Lead User 124,36,F,Sales,94218.27,Los Angeles,False,Auto,1,0,1,False,14,Organic,large_lead_124@example.com,555-01125,0,93.56,1.84,0
LDX-1125,Large Lead User 125,43,M,Engineer,64147.4,Chicago,True,Health,20,10,4,False,17,Paid Search,large_lead_125@example.com,555-01126,1,11.27,1.7,1
LDX-1126,Large Lead User 126,43,F,Sales,124892.12,Phoenix,False,Auto,18,6,5,True,25,Paid Search,large_lead_126@example.com,555-01127,1,98.35,1.28,0
LDX-1127,Large Lead User 127,52,F,Doctor,68832.2,Phoenix,True,Life,7,10,0,False,9,Paid Search,large_lead_127@example.com,555-01128,0,15.59,0.53,0
LDX-1128,Large Lead User 128,29,F,Engineer,85847.4,Chicago,False,Home,5,3,3,True,22,Referral,large_lead_128@example.com,555-01129,0,23.79,1.41,0
LDX-1129,Large Lead User 129,69,Other,Teacher,148660.56,Los Angeles,True,Health,11,8,3,False,23,Organic,large_lead_129@example.com,555-01130,1,92.55,1.08,0
LDX-1130,Large Lead User 130,29,Other,Sales,37410.97,New York,True,Health,17,1,4,False,7,Organic,large_lead_130@example.com,555-01131,1,50.81,0.66,0
LDX-1131,Large Lead User 131,54,F,Doctor,79850.95,New York,True,Auto,18,0,0,False,18,Social Media,large_lead_131@example.com,555-01132,0,73.03,1.45,0
LDX-1132,Large Lead User 132,56,Other,Sales,149294.84,Chicago,False,Health,2,6,3,False,2,Organic,large_lead_132@example.com,555-01133,1,71.45,0.27,0
LDX-1133,Large Lead User 133,64,Other,Teacher,134946.45,Los Angeles,True,Auto,4,4,5,False,28,Referral,large_lead_133@example.com,555-01134,1,57.87,1.07,0
LDX-1134,Large Lead User 134,74,M,Engineer,57559.69,Houston,True,Home,14,3,2,True,5,Organic,large_lead_134@example.com,555-01135,0,63.45,1.45,0
LDX-1135,Large Lead User 135,50,M,Teacher,101734.19,Phoenix,False,Home,1,9,1,False,24,Social Media,large_lead_135@example.com,555-01136,0,31.32,1.08,0
LDX-1136,Large Lead User 136,31,M,Sales,148283.47,Phoenix,False,Auto,16,5,1,False,14,Social Media,large_lead_136@example.com,555-01137,1,72.67,1.9,0
LDX-1137,Large Lead User 137,48,Other,Teacher,47906.11,Houston,True,Health,12,6,1,True,25,Referral,large_lead_137@example.com,555-01138,1,31.86,0.45,0
LDX-1138,Large Lead User 138,35,F,Student,69631.56,Phoenix,True,Auto,2,3,3,True,28,Referral,large_lead_138@example.com,555-01139,0,28.8,1.66,1
LDX-1139,Large Lead User 139,43,F,Teacher,66382.56,Phoenix,True,Health,0,3,1,False,30,Social Media,large_lead_139@example.com,555-01140,0,44.26,1.49,0
LDX-1140,Large Lead User 140,56,Other,Sales,107846.56,Chicago,True,Life,9,5,2,False,12,Organic,large_lead_140@example.com,555-01141,1,60.63,0.2,0
LDX-1141,Large Lead User 141,36,M,Teacher,118950.29,Chicago,True,Health,0,9,2,True,18,Referral,large_lead_141@example.com,555-01142,0,59.56,0.84,0
LDX-1142,Large Lead User 142,65,F,Teacher,70507.71,Los Angeles,False,Home,15,8,5,True,21,Organic,large_lead_142@example.com,555-01143,1,85.52,1.47,0
LDX-1143,Large Lead User 143,26,M,Engineer,143422.57,Los Angeles,False,Life,1,0,0,False,14,Referral,large_lead_143@example.com,555-01144,0,11.42,0.14,0
LDX-1144,Large Lead User 144,56,Other,Sales,96197.23,Los Angeles,True,Auto,0,8,0,True,17,Paid Search,large_lead_144@example.com,555-01145,0,27.27,0.57,0
LDX-1145,Large Lead User 145,55,Other,Teacher,60290.18,Los Angeles,False,Auto,11,10,2,True,26,Organic,large_lead_145@example.com,555-01146,1,46.48,0.81,0
LDX-1146,Large Lead User 146,46,F,Student,96324.17,New York,True,Home,1,3,5,False,1,Social Media,large_lead_146@example.com,555-01147,1,14.19,1.69,1
LDX-1147,Large Lead User 147,26,M,Student,112131.45,Los Angeles,False,Auto,8,4,4,True,19,Paid Search,large_lead_147@example.com,555-01148,1,61.0,1.7,1
LDX-1148,Large Lead User 148,46,Other,Doctor,111244.2,New York,True,Health,17,3,2,True,13,Social Media,large_lead_148@example.com,555-01149,1,64.47,1.98,1
LDX-1149,Large Lead User 149,61,M,Doctor,144583.01,Phoenix,False,Health,12,2,2,False,1,Organic,large_lead_149@example.com,555-01150,1,79.5,0.9,0
LDX-1150,Large Lead User 150,40,Other,Sales,125766.62,Chicago,False,Auto,2,1,0,True,9,Social Media,large_lead_150@example.com,555-01151,0,50.03,1.27,0
LDX-1151,Large Lead User 151,70,M,Engineer,62371.97,New York,False,Auto,4,9,0,False,6,Referral,large_lead_151@example.com,555-01152,0,11.11,1.02,0
LDX-1152,Large Lead User 152,48,Other,Teacher,76535.95,Houston,True,Home,2,4,5,False,29,Social Media,large_lead_152@example.com,555-01153,0,54.38,0.49,0
LDX-1153,Large Lead User 153,26,M,Sales,50064.89,Phoenix,True,Health,8,1,3,True,10,Social Media,large_lead_153@example.com,555-01154,1,10.61,0.5,0
LDX-1154,Large Lead User 154,47,Other,Student,69866.07,Los Angeles,False,Life,19,9,3,True,26,Referral,large_lead_154@example.com,555-01155,1,38.28,0.86,0
LDX-1155,Large Lead User 155,47,F,Sales,146247.03,Chicago,True,Home,9,9,5,True,23,Organic,large_lead_155@example.com,555-01156,0,95.77,1.56,1
LDX-1156,Large Lead User 156,51,F,Sales,143156.99,Los Angeles,False,Home,6,4,3,True,26,Referral,large_lead_156@example.com,555-01157,0,81.02,1.64,1
LDX-1157,Large Lead User 157,26,Other,Engineer,83888.01,Chicago,True,Auto,19,3,3,False,19,Paid Search,large_lead_157@example.com,555-01158,1,68.23,1.84,1
LDX-1158,Large Lead User 158,24,M,Engineer,97586.44,Chicago,True,Home,20,7,5,False,21,Referral,large_lead_158@example.com,555-01159,1,51.68,1.93,1
LDX-1159,Large Lead User 159,65,M,Engineer,100630.79,Los Angeles,False,Life,16,5,1,False,12,Paid Search,large_lead_159@example.com,555-01160,1,56.9,0.59,0
LDX-1160,Large Lead User 160,44,Other,Engineer,87139.5,New York,False,Auto,14,10,5,True,23,Paid Search,large_lead_160@example.com,555-01161,1,56.44,0.09,0
LDX-1161,Large Lead User 161,57,Other,Sales,49216.29,Houston,True,Home,17,7,3,False,15,Referral,large_lead_161@example.com,555-01162,1,10.4,0.37,0
LDX-1162,Large Lead User 162,35,M,Sales,54694.14,New York,False,Health,2,8,4,False,4,Referral,large_lead_162@example.com,555-01163,0,65.02,0.73,0
LDX-1163,Large Lead User 163,59,Other,Engineer,43707.85,Los Angeles,False,Auto,11,3,3,False,20,Organic,large_lead_163@example.com,555-01164,0,26.47,1.6,0
LDX-1164,Large Lead User 164,66,Other,Student,46963.03,Los Angeles,True,Health,12,4,3,True,20,Paid Search,large_lead_164@example.com,555-01165,1,38.31,0.37,0
LDX-1165,Large Lead User 165,50,F,Sales,104329.2,Houston,False,Health,11,7,0,True,16,Organic,large_lead_165@example.com,555-01166,0,60.89,1.93,1
