customer_id,name,age,policy_type,premium_amount,renewal_history,claim_history,complaint_count,support_tickets,feedback,email,contact_number,churn_target,income_to_premium_ratio,claim_frequency,is_fraud
CUSTX-2022,Large Customer User 22,64,Health,1920.48,9,1,4,9,Great service,large_cust_22@example.com,555-02023,0,29.05,0.11,0
CUSTX-2023,Large Customer User 23,46,Auto,1686.94,7,1,2,9,Will renew,large_cust_23@example.com,555-02024,1,12.99,0.14,0
CUSTX-2024,Large Customer User 24,84,Auto,567.1,6,5,1,1,Poor support,large_cust_24@example.com,555-02025,0,7.59,0.83,0
CUSTX-2025,Large Customer User 25,23,Health,929.56,2,3,3,6,Great service,large_cust_25@example.com,555-02026,1,22.5,1.5,0
CUSTX-2026,Large Customer User 26,48,Life,824.83,6,1,1,4,Will renew,large_cust_26@example.com,555-02027,0,14.13,0.17,0
CUSTX-2027,Large Customer User 27,80,Life,1188.6,7,1,0,2,Will renew,large_cust_27@example.com,555-02028,0,44.57,0.14,0
CUSTX-2028,Large Customer User 28,80,Life,1656.74,4,2,0,1,Poor support,large_cust_28@example.com,555-02029,0,32.59,0.5,0
CUSTX-2029,Large Customer User 29,44,Auto,1537.63,6,1,1,9,Poor support,large_cust_29@example.com,555-02030,0,36.44,0.17,0
CUSTX-2030,Large Customer User 30,27,Home,1099.24,10,0,1,4,Poor support,large_cust_30@example.com,555-02031,0,23.51,0.0,0
CUSTX-2031,Large Customer User 31,37,Home,2988.29,8,3,0,1,Average,large_cust_31@example.com,555-02032,0,14.33,0.38,0
CUSTX-2032,Large Customer User 32,27,Health,1655.42,10,5,0,10,Too expensive,large_cust_32@example.com,555-02033,0,22.85,0.5,0
CUSTX-2033,Large Customer User 33,23,Auto,1126.51,5,3,5,2,Great service,large_cust_33@example.com,555-02034,1,29.68,0.6,0
CUSTX-2034,Large Customer User 34,53,Auto,2283.95,7,1,3,2,Will renew,large_cust_34@example.com,555-02035,0,9.52,0.14,0
CUSTX-2035,Large Customer User 35,59,Health,810.38,2,5,5,6,Average,large_cust_35@example.com,555-02036,1,13.01,2.5,1
CUSTX-2036,Large Customer User 36,26,Auto,2731.72,7,4,4,3,Poor support,large_cust_36@example.com,555-02037,0,36.07,0.57,0
CUSTX-2037,Large Customer User 37,78,Home,631.04,6,2,0,0,Too expensive,large_cust_37@example.com,555-02038,0,9.11,0.33,0
CUSTX-2038,Large Customer User 38,75,Home,569.86,3,0,0,5,Too expensive,large_cust_38@example.com,555-02039,1,6.98,0.0,0
CUSTX-2039,Large Customer User 39,35,Health,2539.06,10,4,2,8,Poor support,large_cust_39@example.com,555-02040,0,10.44,0.4,0
CUSTX-2040,Large Customer User 40,49,Home,764.71,0,3,2,2,Great service,large_cust_40@example.com,555-02041,1,34.61,3.0,1
CUSTX-2041,Large Customer User 41,57,Auto,2124.86,1,4,2,0,Will renew,large_cust_41@example.com,555-02042,0,40.61,4.0,1
CUSTX-2042,Large Customer User 42,43,Home,1129.85,5,5,0,9,Average,large_cust_42@example.com,555-02043,0,12.89,1.0,0
CUSTX-2043,Large Customer User 43,62,Home,2945.05,1,4,5,7,Will renew,large_cust_43@example.com,555-02044,1,31.44,4.0,1
CUSTX-2044,Large Customer User 44,23,Auto,1081.51,4,1,4,1,Great service,large_cust_44@example.com,555-02045,0,11.19,0.25,0
CUSTX-2045,Large Customer User 45,85,Health,1241.54,3,5,1,6,Average,large_cust_45@example.com,555-02046,1,11.04,1.67,1
CUSTX-2046,Large Customer User 46,62,Home,2109.01,6,0,0,8,Average,large_cust_46@example.com,555-02047,0,20.42,0.0,0
CUSTX-2047,Large Customer User 47,48,Life,1848.28,10,3,5,3,Too expensive,large_cust_47@example.com,555-02048,1,24.91,0.3,0
CUSTX-2048,Large Customer User 48,22,Home,661.54,3,1,3,1,Great service,large_cust_48@example.com,555-02049,0,12.82,0.33,0
CUSTX-2049,Large Customer User 49,48,Health,1090.78,7,1,0,6,Too expensive,large_cust_49@example.com,555-02050,0,32.26,0.14,0
CUSTX-2050,Large Customer User 50,60,Life,1213.38,3,0,3,10,Poor support,large_cust_50@example.com,555-02051,0,22.0,0.0,0
CUSTX-2051,Large Customer User 51,82,Auto,1603.44,6,3,4,9,Poor support,large_cust_51@example.com,555-02052,0,24.23,0.5,0
CUSTX-2052,Large Customer User 52,32,Health,2397.15,8,2,2,9,Poor support,large_cust_52@example.com,555-02053,0,18.76,0.25,0
CUSTX-2053,Large Customer User 53,58,Home,1437.87,1,1,4,7,Too expensive,large_cust_53@example.com,555-02054,1,5.19,1.0,0
CUSTX-2054,Large Customer User 54,69,Auto,1728.63,5,4,3,6,Poor support,large_cust_54@example.com,555-02055,1,44.82,0.8,0
CUSTX-2055,Large Customer User 55,37,Health,1462.07,3,5,4,2,Average,large_cust_55@example.com,555-02056,0,36.34,1.67,1
CUSTX-2056,Large Customer User 56,71,Auto,2816.3,3,2,5,3,Too expensive,large_cust_56@example.com,555-02057,0,16.76,0.67,0
CUSTX-2057,Large Customer User 57,80,Auto,2860.66,3,1,1,4,Great service,large_cust_57@example.com,555-02058,0,39.69,0.33,0
CUSTX-2058,Large Customer User 58,71,Health,1494.17,8,1,4,1,Average,large_cust_58@example.com,555-02059,0,36.13,0.12,0
CUSTX-2059,Large Customer User 59,70,Life,1965.2,1,2,5,6,Too expensive,large_cust_59@example.com,555-02060,1,46.85,2.0,0
CUSTX-2060,Large Customer User 60,72,Health,2247.52,7,5,0,2,Will renew,large_cust_60@example.com,555-02061,0,23.76,0.71,0
CUSTX-2061,Large Customer User 61,58,Home,2332.61,5,3,1,2,Will renew,large_cust_61@example.com,555-02062,0,47.68,0.6,0
CUSTX-2062,Large Customer User 62,79,Life,1917.73,3,1,1,2,Poor support,large_cust_62@example.com,555-02063,0,24.83,0.33,0
CUSTX-2063,Large Customer User 63,35,Life,2670.9,4,0,1,1,Great service,large_cust_63@example.com,555-02064,0,31.35,0.0,0
CUSTX-2064,Large Customer User 64,83,Auto,1712.99,0,5,0,0,Great service,large_cust_64@example.com,555-02065,0,14.5,5.0,1
CUSTX-2065,Large Customer User 65,22,Life,1439.16,7,3,4,4,Average,large_cust_65@example.com,555-02066,1,35.68,0.43,0
CUSTX-2066,Large Customer User 66,65,Life,2998.61,10,2,1,5,Great service,large_cust_66@example.com,555-02067,0,5.14,0.2,0
CUSTX-2067,Large Customer User 67,73,Home,2313.05,9,5,1,0,Average,large_cust_67@example.com,555-02068,0,25.34,0.56,0
CUSTX-2068,Large Customer User 68,82,Life,1787.29,0,2,5,3,Great service,large_cust_68@example.com,555-02069,0,48.63,2.0,1
CUSTX-2069,Large Customer User 69,63,Life,2194.82,7,0,1,9,Poor support,large_cust_69@example.com,555-02070,0,47.26,0.0,0
CUSTX-2070,Large Customer User 70,82,Auto,2967.18,6,1,5,1,Too expensive,large_cust_70@example.com,555-02071,1,27.41,0.17,0
CUSTX-2071,Large Customer User 71,33,Health,1253.37,7,0,5,8,Will renew,large_cust_71@example.com,555-02072,1,15.84,0.0,0
CUSTX-2072,Large Customer User 72,49,Life,926.08,1,1,5,1,Poor support,large_cust_72@example.com,555-02073,1,39.48,1.0,0
CUSTX-2073,Large Customer User 73,50,Health,2297.94,10,4,5,7,Great service,large_cust_73@example.com,555-02074,1,40.8,0.4,0
CUSTX-2074,Large Customer User 74,64,Health,2679.85,1,5,4,9,Will renew,large_cust_74@example.com,555-02075,1,48.48,5.0,0
CUSTX-2075,Large Customer User 75,77,Home,2521.12,1,2,1,4,Great service,large_cust_75@example.com,555-02076,1,30.78,2.0,0
CUSTX-2076,Large Customer User 76,38,Health,2633.33,0,1,3,9,Poor support,large_cust_76@example.com,555-02077,1,19.38,1.0,0
CUSTX-2077,Large Customer User 77,68,Auto,2493.8,10,3,1,8,Will renew,large_cust_77@example.com,555-02078,0,43.36,0.3,0
CUSTX-2078,Large Customer User 78,62,Home,861.75,7,2,2,3,Great service,large_cust_78@example.com,555-02079,0,31.95,0.29,0
CUSTX-2079,Large Customer User 79,61,Home,1755.94,4,3,5,1,Poor support,large_cust_79@example.com,555-02080,0,18.12,0.75,0
CUSTX-2080,Large Customer User 80,70,Auto,647.03,3,1,2,2,Too expensive,large_cust_80@example.com,555-02081,0,43.56,0.33,0
CUSTX-2081,Large Customer User 81,72,Life,1247.75,0,5,5,2,Poor support,large_cust_81@example.com,555-02082,1,22.6,5.0,1
CUSTX-2082,Large Customer User 82,58,Auto,1205.91,6,4,1,8,Average,large_cust_82@example.com,555-02083,0,25.59,0.67,0
CUSTX-2083,Large Customer User 83,42,Home,1942.89,4,5,3,7,Great service,large_cust_83@example.com,555-02084,1,21.3,1.25,0
CUSTX-2084,Large Customer User 84,35,Auto,2195.79,6,0,1,6,Average,large_cust_84@example.com,555-02085,1,48.84,0.0,0
CUSTX-2085,Large Customer User 85,44,Health,2862.66,10,1,0,8,Too expensive,large_cust_85@example.com,555-02086,0,6.53,0.1,0
CUSTX-2086,Large Customer User 86,52,Auto,1491.61,2,5,2,9,Poor support,large_cust_86@example.com,555-02087,1,43.92,2.5,0
CUSTX-2087,Large Customer User 87,70,Health,1188.04,5,0,5,7,Will renew,large_cust_87@example.com,555-02088,1,15.12,0.0,0
CUSTX-2088,Large Customer User 88,83,Health,1184.31,9,5,5,1,Average,large_cust_88@example.com,555-02089,0,30.71,0.56,0
CUSTX-2089,Large Customer User 89,34,Health,1313.07,2,3,5,8,Great service,large_cust_89@example.com,555-02090,1,28.35,1.5,0
CUSTX-2090,Large Customer User 90,37,Auto,2383.77,1,1,1,10,Will renew,large_cust_90@example.com,555-02091,0,25.13,1.0,0
CUSTX-2091,Large Customer User 91,62,Auto,807.61,3,2,1,9,Great service,large_cust_91@example.com,555-02092,1,49.1,0.67,0
CUSTX-2092,Large Customer User 92,60,Life,1408.9,6,1,4,2,Great service,large_cust_92@example.com,555-02093,0,47.58,0.17,0
CUSTX-2093,Large Customer User 93,59,Home,2147.89,9,2,3,2,Great service,large_cust_93@example.com,555-02094,0,34.82,0.22,0
CUSTX-2094,Large Customer User 94,27,Home,1092.75,4,1,1,2,Will renew,large_cust_94@example.com,555-02095,0,21.16,0.25,0
CUSTX-2095,Large Customer User 95,38,Health,2322.76,8,1,3,1,Poor support,large_cust_95@example.com,555-02096,0,8.75,0.12,0
CUSTX-2096,Large Customer User 96,54,Home,2191.31,8,2,5,2,Average,large_cust_96@example.com,555-02097,0,30.36,0.25,0
CUSTX-2097,Large Customer User 97,42,Auto,1549.22,6,1,1,5,Average,large_cust_97@example.com,555-02098,0,10.61,0.17,0
CUSTX-2098,Large Customer User 98,36,Life,2209.95,5,2,3,1,Too expensive,large_cust_98@example.com,555-02099,0,44.1,0.4,0
CUSTX-2099,Large Customer User 99,50,Home,1184.12,3,0,0,6,Will renew,large_cust_99@example.com,555-02100,1,37.77,0.0,0
CUSTX-2100,Large Customer User 100,61,Life,1972.07,8,2,3,1,Will renew,large_cust_100@example.com,555-02101,0,9.46,0.25,0
CUSTX-2101,Large Customer User 101,28,Health,926.87,5,4,3,2,Poor support,large_cust_101@example.com,555-02102,0,31.65,0.8,0
CUSTX-2102,Large Customer User 102,55,Life,523.74,10,5,4,2,Great service,large_cust_102@example.com,555-02103,0,46.33,0.5,0
CUSTX-2103,Large Customer User 103,69,Life,2268.76,9,3,1,10,Poor support,large_cust_103@example.com,555-02104,0,27.6,0.33,0
CUSTX-2104,Large Customer User 104,57,Health,2881.54,4,2,4,3,Average,large_cust_104@example.com,555-02105,1,43.04,0.5,0
CUSTX-2105,Large Customer User 105,32,Health,691.73,2,2,1,1,Great service,large_cust_105@example.com,555-02106,1,48.3,1.0,0
CUSTX-2106,Large Customer User 106,76,Auto,2192.58,7,5,5,2,Poor support,large_cust_106@example.com,555-02107,0,5.63,0.71,0
CUSTX-2107,Large Customer User 107,46,Auto,2777.22,6,1,5,0,Will renew,large_cust_107@example.com,555-02108,0,25.19,0.17,0
CUSTX-2108,Large Customer User 108,43,Auto,2186.31,2,4,4,3,Poor support,large_cust_108@example.com,555-02109,0,27.3,2.0,1
CUSTX-2109,Large Customer User 109,43,Life,1433.21,10,0,0,5,Average,large_cust_109@example.com,555-02110,0,26.74,0.0,0
CUSTX-2110,Large Customer User 110,55,Auto,1032.66,9,5,5,10,Poor support,large_cust_110@example.com,555-02111,0,45.16,0.56,0
CUSTX-2111,Large Customer User 111,84,Life,643.74,7,0,0,9,Too expensive,large_cust_111@example.com,555-02112,0,23.09,0.0,0
CUSTX-2112,Large Customer User 112,23,Health,753.34,1,3,3,3,Great service,large_cust_112@example.com,555-02113,0,12.0,3.0,1
CUSTX-2113,Large Customer User 113,54,Life,1065.24,4,4,3,5,Great service,large_cust_113@example.com,555-02114,0,49.52,1.0,0
CUSTX-2114,Large Customer User 114,78,Auto,904.59,0,1,2,6,Too expensive,large_cust_114@example.com,555-02115,0,17.82,1.0,0
CUSTX-2115,Large Customer User 115,39,Life,1486.37,0,3,5,5,Great service,large_cust_115@example.com,555-02116,1,23.95,3.0,0
CUSTX-2116,Large Customer User 116,85,Health,2499.55,5,3,5,2,Too expensive,large_cust_116@example.com,555-02117,0,9.94,0.6,0
CUSTX-2117,Large Customer User 117,35,Auto,2481.78,5,1,1,2,Average,large_cust_117@example.com,555-02118,0,24.33,0.2,0
CUSTX-2118,Large Customer User 118,23,Home,1585.82,7,4,2,4,Will renew,large_cust_118@example.com,555-02119,0,13.41,0.57,0
CUSTX-2119,Large Customer User 119,57,Auto,2416.82,10,5,2,3,Will renew,large_cust_119@example.com,555-02120,0,32.5,0.5,0
CUSTX-2120,Large Customer User 120,46,Auto,2981.38,10,3,4,10,Average,large_cust_120@example.com,555-02121,1,49.57,0.3,0
CUSTX-2121,Large Customer User 121,40,Home,1565.76,1,4,4,3,Too expensive,large_cust_121@example.com,555-02122,1,20.13,4.0,1
CUSTX-2122,Large Customer User 122,83,Health,653.37,0,2,3,10,Too expensive,large_cust_122@example.com,555-02123,1,19.39,2.0,0
CUSTX-2123,Large Customer User 123,28,Life,954.38,10,3,0,0,Will renew,large_cust_123@example.com,555-02124,0,9.53,0.3,0
CUSTX-2124,Large Customer User 124,45,Home,1130.66,5,0,3,5,Average,large_cust_124@example.com,555-02125,1,21.23,0.0,0
CUSTX-2125,Large Customer User 125,68,Health,2357.33,9,1,4,8,Great service,large_cust_125@example.com,555-02126,0,44.92,0.11,0
CUSTX-2126,Large Customer User 126,38,Home,2073.9,0,5,4,1,Poor support,large_cust_126@example.com,555-02127,0,46.65,5.0,0
CUSTX-2127,Large Customer User 127,31,Home,2854.55,4,1,4,5,Great service,large_cust_127@example.com,555-02128,0,10.75,0.25,0
CUSTX-2128,Large Customer User 128,75,Auto,1876.24,5,5,2,8,Poor support,large_cust_128@example.com,555-02129,1,8.05,1.0,0
CUSTX-2129,Large Customer User 129,75,Life,1809.41,2,1,4,0,Great service,large_cust_129@example.com,555-02130,0,48.01,0.5,0
CUSTX-2130,Large Customer User 130,29,Auto,2485.98,6,4,5,3,Too expensive,large_cust_130@example.com,555-02131,1,24.7,0.67,0
CUSTX-2131,Large Customer User 131,71,Home,1906.25,9,1,3,6,Will renew,large_cust_131@example.com,555-02132,1,36.35,0.11,0
CUSTX-2132,Large Customer User 132,80,Life,1759.54,4,5,5,8,Will renew,large_cust_132@example.com,555-02133,1,10.36,1.25,0
CUSTX-2133,Large Customer User 133,50,Life,614.03,0,2,1,4,Great service,large_cust_133@example.com,555-02134,0,33.91,2.0,0
CUSTX-2134,Large Customer User 134,53,Life,2973.84,1,4,1,8,Great service,large_cust_134@example.com,555-02135,1,47.59,4.0,0
CUSTX-2135,Large Customer User 135,55,Life,2305.2,4,0,3,9,Too expensive,large_cust_135@example.com,555-02136,1,37.87,0.0,0
CUSTX-2136,Large Customer User 136,57,Auto,941.84,10,4,0,8,Poor support,large_cust_136@example.com,555-02137,0,47.55,0.4,0
CUSTX-2137,Large Customer User 137,54,Life,2675.06,8,2,5,9,Too expensive,large_cust_137@example.com,555-02138,1,31.17,0.25,0
CUSTX-2138,Large Customer User 138,72,Home,889.1,5,3,1,6,Poor support,large_cust_138@example.com,555-02139,0,13.33,0.6,0
CUSTX-2139,Large Customer User 139,44,Health,972.15,10,1,3,2,Will renew,large_cust_139@example.com,555-02140,0,13.45,0.1,0
CUSTX-2140,Large Customer User 140,40,Home,680.12,10,4,1,7,Great service,large_cust_140@example.com,555-02141,0,32.15,0.4,0
CUSTX-2141,Large Customer User 141,70,Life,1459.98,10,0,0,0,Too expensive,large_cust_141@example.com,555-02142,0,47.24,0.0,0
CUSTX-2142,Large Customer User 142,23,Auto,2481.0,8,5,0,1,Too expensive,large_cust_142@example.com,555-02143,0,11.27,0.62,0
CUSTX-2143,Large Customer User 143,78,Life,2538.66,7,5,2,5,Will renew,large_cust_143@example.com,555-02144,1,10.54,0.71,0
CUSTX-2144,Large Customer User 144,27,Home,757.04,8,0,2,1,Great service,large_cust_144@example.com,555-02145,0,15.2,0.0,0
CUSTX-2145,Large Customer User 145,71,Auto,868.44,3,5,5,4,Poor support,large_cust_145@example.com,555-02146,1,12.63,1.67,0
CUSTX-2146,Large Customer User 146,36,Auto,1061.31,1,0,2,5,Will renew,large_cust_146@example.com,555-02147,1,11.8,0.0,0
CUSTX-2147,Large Customer User 147,76,Life,1826.2,10,5,4,2,Will renew,large_cust_147@example.com,555-02148,0,41.79,0.5,0
CUSTX-2148,Large Customer User 148,66,Auto,2688.51,10,5,2,7,Great service,large_cust_148@example.com,555-02149,0,43.78,0.5,0
CUSTX-2149,Large Customer User 149,41,Auto,2444.46,2,3,1,5,Great service,large_cust_149@example.com,555-02150,0,31.0,1.5,0
CUSTX-2150,Large Customer User 150,57,Health,861.67,2,3,2,2,Poor support,large_cust_150@example.com,555-02151,1,36.2,1.5,0
CUSTX-2151,Large Customer User 151,74,Health,2004.36,2,1,5,5,Poor support,large_cust_151@example.com,555-02152,1,29.72,0.5,0
CUSTX-2152,Large Customer User 152,85,Home,1831.19,1,4,1,6,Great service,large_cust_152@example.com,555-02153,0,15.58,4.0,0
CUSTX-2153,Large Customer User 153,22,Auto,1008.2,8,0,0,5,Average,large_cust_153@example.com,555-02154,0,21.24,0.0,0
CUSTX-2154,Large Customer User 154,39,Home,1236.74,6,0,1,8,Great service,large_cust_154@example.com,555-02155,0,48.29,0.0,0
CUSTX-2155,Large Customer User 155,40,Auto,1443.65,5,4,0,6,Poor support,large_cust_155@example.com,555-02156,0,42.68,0.8,0
CUSTX-2156,Large Customer User 156,42,Home,575.46,1,3,2,2,Poor support,large_cust_156@example.com,555-02157,1,38.46,3.0,1
CUSTX-2157,Large Customer User 157,60,Auto,1675.46,7,2,5,5,Too expensive,large_cust_157@example.com,555-02158,1,7.7,0.29,0
CUSTX-2158,Large Customer User 158,26,Health,2010.43,2,5,1,8,Will renew,large_cust_158@example.com,555-02159,0,37.01,2.5,0
CUSTX-2159,Large Customer User 159,55,Health,2797.88,3,0,4,4,Too expensive,large_cust_159@example.com,555-02160,1,38.44,0.0,0
CUSTX-2160,Large Customer User 160,73,Health,2047.61,2,4,1,6,Poor support,large_cust_160@example.com,555-02161,0,19.09,2.0,0
CUSTX-2161,Large Customer User 161,73,Auto,2568.13,5,0,1,0,Great service,large_cust_161@example.com,555-02162,0,21.32,0.0,0
CUSTX-2162,Large Customer User 162,64,Life,570.12,8,0,2,2,Too expensive,large_cust_162@example.com,555-02163,0,29.83,0.0,0
CUSTX-2163,Large Customer User 163,26,Auto,1100.84,9,3,0,9,Great service,large_cust_163@example.com,555-02164,0,19.16,0.33,0
CUSTX-2164,Large Customer User 164,61,Life,521.2,6,3,2,4,Too expensive,large_cust_164@example.com,555-02165,0,36.62,0.5,0
CUSTX-2165,Large Customer User 165,34,Health,1328.3,1,0,5,8,Poor support,large_cust_165@example.com,555-02166,1,31.39,0.0,0
CUSTX-2166,Large Customer User 166,26,Home,1225.3,7,5,1,10,Too expensive,large_cust_166@example.com,555-02167,0,41.34,0.71,0
CUSTX-2167,Large Customer User 167,40,Life,2422.06,8,4,1,8,Poor support,large_cust_167@example.com,555-02168,0,40.34,0.5,0
CUSTX-2168,Large Customer User 168,65,Auto,1227.1,0,3,4,6,Too expensive,large_cust_168@example.com,555-02169,1,30.51,3.0,1
CUSTX-2169,Large Customer User 169,85,Health,743.52,4,0,0,2,Great service,large_cust_169@example.com,555-02170,0,25.47,0.0,0
CUSTX-2170,Large Customer User 170,43,Home,2835.14,4,0,1,1,Poor support,large_cust_170@example.com,555-02171,0,16.61,0.0,0
CUSTX-2171,Large Customer User 171,82,Auto,2946.21,2,3,3,10,Average,large_cust_171@example.com,555-02172,0,43.66,1.5,0
CUSTX-2172,Large Customer User 172,73,Life,1522.58,2,4,4,10,Great service,large_cust_172@example.com,555-02173,1,35.7,2.0,0
CUSTX-2173,Large Customer User 173,79,Auto,1157.07,9,1,5,0,Too expensive,large_cust_173@example.com,555-02174,1,43.39,0.11,0
CUSTX-2174,Large Customer User 174,59,Health,1439.55,1,5,4,6,Poor support,large_cust_174@example.com,555-02175,0,33.91,5.0,1
CUSTX-2175,Large Customer User 175,81,Auto,772.8,6,2,1,1,Average,large_cust_175@example.com,555-02176,0,20.41,0.33,0
CUSTX-2176,Large Customer User 176,84,Health,1031.59,1,1,5,7,Too expensive,large_cust_176@example.com,555-02177,1,33.81,1.0,0
CUSTX-2177,Large Customer User 177,62,Home,1920.52,0,3,4,6,Great service,large_cust_177@example.com,555-02178,1,14.52,3.0,0
CUSTX-2178,Large Customer User 178,24,Auto,2881.61,4,1,5,6,Average,large_cust_178@example.com,555-02179,1,23.23,0.25,0
CUSTX-2179,Large Customer User 179,60,Auto,2684.44,8,1,3,6,Great service,large_cust_179@example.com,555-02180,0,45.27,0.12,0
CUSTX-2180,Large Customer User 180,76,Home,1355.05,3,3,2,2,Poor support,large_cust_180@example.com,555-02181,0,20.96,1.0,0
CUSTX-2181,Large Customer User 181,71,Home,2557.54,3,4,4,9,Average,large_cust_181@example.com,555-02182,1,34.88,1.33,0
CUSTX-2182,Large Customer User 182,62,Health,535.47,7,5,3,2,Average,large_cust_182@example.com,555-02183,1,28.43,0.71,0
CUSTX-2183,Large Customer User 183,22,Home,2970.6,7,0,1,10,Too expensive,large_cust_183@example.com,555-02184,0,23.91,0.0,0
CUSTX-2184,Large Customer User 184,43,Auto,2002.36,3,4,1,5,Average,large_cust_184@example.com,555-02185,0,41.62,1.33,0
CUSTX-2185,Large Customer User 185,24,Life,1254.86,1,3,2,8,Average,large_cust_185@example.com,555-02186,1,42.27,3.0,1
CUSTX-2186,Large Customer User 186,76,Health,1807.92,2,4,2,1,Poor support,large_cust_186@example.com,555-02187,0,17.83,2.0,1
CUSTX-2187,Large Customer User 187,77,Auto,2085.27,1,0,5,9,Great service,large_cust_187@example.com,555-02188,1,32.73,0.0,0
CUSTX-2188,Large Customer User 188,74,Auto,759.19,8,4,5,9,Average,large_cust_188@example.com,555-02189,1,43.33,0.5,0
CUSTX-2189,Large Customer User 189,49,Life,1057.2,6,0,3,8,Poor support,large_cust_189@example.com,555-02190,0,23.58,0.0,0
CUSTX-2190,Large Customer User 190,72,Life,519.01,8,2,2,3,Poor support,large_cust_190@example.com,555-02191,0,35.3,0.25,0
CUSTX-2191,Large Customer User 191,22,Life,2750.47,0,4,3,0,Average,large_cust_191@example.com,555-02192,0,12.67,4.0,0
CUSTX-2192,Large Customer User 192,77,Health,1104.58,9,4,3,3,Too expensive,large_cust_192@example.com,555-02193,0,47.27,0.44,0
CUSTX-2193,Large Customer User 193,71,Home,2943.39,5,0,1,6,Will renew,large_cust_193@example.com,555-02194,0,10.33,0.0,0
CUSTX-2194,Large Customer User 194,72,Auto,2607.58,8,0,5,4,Great service,large_cust_194@example.com,555-02195,1,24.68,0.0,0
CUSTX-2195,Large Customer User 195,41,Health,569.55,1,5,5,8,Average,large_cust_195@example.com,555-02196,1,13.39,5.0,1
CUSTX-2196,Large Customer User 196,50,Auto,1242.31,6,2,4,3,Too expensive,large_cust_196@example.com,555-02197,0,33.23,0.33,0
CUSTX-2197,Large Customer User 197,35,Auto,777.33,1,1,4,1,Great service,large_cust_197@example.com,555-02198,1,27.24,1.0,0
CUSTX-2198,Large Customer User 198,68,Health,2781.8,1,0,1,6,Great service,large_cust_198@example.com,555-02199,1,14.46,0.0,0
CUSTX-2199,Large Customer User 199,75,Home,1438.14,7,0,2,10,Will renew,large_cust_199@example.com,555-02200,1,33.4,0.0,0
CUSTX-2200,Large Customer User 200,26,Home,793.02,7,0,2,5,Will renew,large_cust_200@example.com,555-02201,0,38.38,0.0,0
